Epoch: (93), Loss : 5.277414109971788 , acc: 60.06944444444444%
Epoch: (94), Loss : 5.02380599975586 , acc: 65.99609375%
Epoch: (95), Loss : 5.252585983276367 , acc: 60.5859375%
Epoch: (96), Loss : 5.201209640502929 , acc: 61.83593750000001%
Epoch: (97), Loss : 5.068025861467634 , acc: 64.03459821428572%
Epoch: (98), Loss : 5.195638868543837 , acc: 61.75130208333333%
Epoch: (99), Loss : 5.505277156829834 , acc: 55.3955078125%
Epoch: (100), Loss : 5.019086837768555 , acc: 65.859375%
Epoch: (101), Loss : 5.0010576248168945 , acc: 66.89453125%
Epoch: (102), Loss : 4.951679706573486 , acc: 74.462890625%
Epoch: (103), Loss : 5.134096418108259 , acc: 62.58370535714286%
Epoch: (104), Loss : 4.8711090087890625 , acc: 74.951171875%
Epoch: (105), Loss : 5.083246231079102 , acc: 63.98111979166667%
Epoch: (106), Loss : 5.6238456726074215 , acc: 53.8916015625%
Epoch: (107), Loss : 4.9356842041015625 , acc: 65.8984375%
Epoch: (108), Loss : 5.377095903669085 , acc: 58.51004464285714%
Epoch: (109), Loss : 4.798011779785156 , acc: 73.779296875%
Epoch: (110), Loss : 5.2490287780761715 , acc: 59.921875%
Epoch: (111), Loss : 5.456019592285156 , acc: 55.36621093750001%
Epoch: (112), Loss : 5.378838539123535 , acc: 57.940673828125%
Epoch: (113), Loss : 5.103213718959263 , acc: 63.23939732142857%
Epoch: (114), Loss : 4.793951988220215 , acc: 81.4453125%
Epoch: (115), Loss : 5.434370342053865 , acc: 55.828536184210535%
Epoch: (116), Loss : 5.234874725341797 , acc: 60.107421875%
Epoch: (117), Loss : 4.9146278381347654 , acc: 65.9375%
Epoch: (118), Loss : 4.914447784423828 , acc: 66.09375%
Epoch: (119), Loss : 4.631125450134277 , acc: 82.71484375%
Epoch: (120), Loss : 5.519230089689556 , acc: 54.610402960526315%
Epoch: (121), Loss : 5.403593953450521 , acc: 57.46744791666667%
Epoch: (122), Loss : 5.187813229031033 , acc: 61.41493055555556%
Epoch: (123), Loss : 5.4314221833881575 , acc: 56.296258223684205%
Epoch: (124), Loss : 5.397302415635851 , acc: 57.541232638888886%
Epoch: (125), Loss : 5.417897274619655 , acc: 56.866776315789465%
Epoch: (126), Loss : 5.390412224663629 , acc: 57.47612847222222%
Epoch: (127), Loss : 5.075868334089007 , acc: 63.0859375%
Epoch: (128), Loss : 4.615562756856282 , acc: 70.76822916666667%
Epoch: (129), Loss : 4.957831573486328 , acc: 65.37109375%
Epoch: (130), Loss : 5.496944851345486 , acc: 55.13237847222222%
Epoch: (131), Loss : 5.085396902901786 , acc: 62.82087053571428%
Epoch: (132), Loss : 5.416988796657986 , acc: 57.199435763888886%
Epoch: (133), Loss : 5.309841156005859 , acc: 59.16573660714286%
Epoch: (134), Loss : 5.332014083862305 , acc: 58.65478515625%
Epoch: (135), Loss : 5.336245218912761 , acc: 58.828125%
Epoch: (136), Loss : 5.091784477233887 , acc: 62.890625%
Epoch: (137), Loss : 5.392417907714844 , acc: 57.6416015625%
Epoch: (138), Loss : 5.251187411221591 , acc: 60.73330965909092%
Epoch: (139), Loss : 5.293026515415737 , acc: 59.77957589285714%
Epoch: (140), Loss : 4.75046443939209 , acc: 68.84765625%
Epoch: (141), Loss : 5.05286979675293 , acc: 63.90380859375%
Epoch: (142), Loss : 4.983300345284598 , acc: 64.48102678571428%
Epoch: (143), Loss : 5.313377380371094 , acc: 59.62890625%
Epoch: (144), Loss : 5.205594380696614 , acc: 61.44205729166667%
Epoch: (145), Loss : 5.314913749694824 , acc: 59.5947265625%
